CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;LATITUDINE;LONGITUDINE;LOCALIZE
9082;0;Via G. Branca, 62;AMOROSO SACCHETTA GIOVANNI;424570588;153;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;30/09/2010;Ordinaria;1;41.92368;12.57115;1
9083;0;Via Tagliamento, 58/60;BONSIGNORI GIUSEPPE;1405530583;198;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.46143;12.68864;1
9084;0;Via dei Serpenti, 177;ENEI LILIANA;988150587;184;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2007;-;Ordinaria;1;41.89616;12.4902;1
9085;0;Isola Tiberina, 39;FATEBENEFRATELLI;989031000;186;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2010;28/02/2013;Ordinaria;1;41.92368;12.57115;1
9086;0;Piazza San Cosimato, 34-35 (Mercato);EREDI DR. CARLO PELLEGRINI;12579131009;153;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/03/2013;31/03/2015;Ordinaria;1;41.88618;12.46935;1
9087;0;Via Nazionale, 228;PIRAM SERGIO;-;184;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/12/2007;Ordinaria;1;41.89846;12.48979;1
9088;0;Via S. Gallicano, 23;SAN GALLICANO IFO 319;1033011006;153;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.92368;12.57115;1
9089;0;Via del Corso, 498;SAN GIACOMO SNC DI TOMADINI GIUSEPPINA;10337271000;186;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2010;-;Ordinaria;1;41.89907;12.48121;1
9090;0;Via del Gambero, 13 A;ANTICHE FARMACIE DELLA DR.SSA EMANUELA SBARIGIA & C. SAS;7013881003;187;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2010;30/06/2011;Ordinaria;1;41.90305;12.48039;1
9091;0;Via Gargano, 50;SEVERI PAOLO;271430589;141;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.93548;12.53437;1
9092;0;P.za S. Lorenzo in Lucina, 27;SANTACROCE LIDIA;1036350583;186;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/12/2009;Ordinaria;1;41.92368;12.57115;1
9093;0;Piazza Lecce, 13/14;VITI NICOLA;9097340583;161;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/12/2007;Ordinaria;1;41.91071;12.51601;1
9094;0;Via Pantelleria, 13;LUGANO DI DANIELA COSTANZO & C. SAS;5798621008;141;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2015;28/02/2015;Ordinaria;1;41.46021;12.67441;1
9095;0;Via di Capo Le Case, 47;SANTI ANNA LAURA;765920582;187;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.92368;12.57115;1
9096;0;Viale Parioli, 78/80;PARIOLI - MARIA TERESA FERRANTI E RECCHI FRANCESCHINI RINALDO SAS;12726921005;197;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2010;28/02/2015;Ordinaria;1;41.92954;12.48386;1
9097;0;V.le Regina Margherita, 221/223;EREDI DI MINELLI GIANNI SDF;448190587;198;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/08/2010;Ordinaria;1;41.80978;12.68084;1
9098;0;Via Rapagnano, 2;EREDI SIMEONI LUIGI;8932711008;138;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/06/2006;-;Ordinaria;1;41.98293;12.51333;1
9099;0;Via G.B. Morgagni, 30;VITI DE ANGELIS FRANCESCO PAOLO CLAUDIO;567501002;161;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/01/2008;Ordinaria;1;41.92368;12.57115;1
9100;0;Piazza di Trevi, 89;CIOTTI ALESSANDRA;9052501005;187;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/04/2007;-;Ordinaria;1;41.90106;12.48291;1
9101;0;Via Migiurtina, 43/45;CHIMENTI BRUNO;949980585;199;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2010;-;Ordinaria;1;41.93044;12.52167;1
9102;0;Via Libia, 225-227;SAN STANISLAO SAS DI ROMEO CARMELA GIULIA & C. SAS;12439401006;199;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/04/2015;-;Ordinaria;1;41.92368;12.57115;1
9103;0;Via Ettore Romagnoli, 76/78;SERLENGA TOMMASO;2386100586;137;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.94348;12.54768;1
9104;0;Via Montaione, 68/70;TINARI VALERIO;1978970562;139;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/04/2010;-;Ordinaria;1;41.92368;12.57115;1
