DATA;SEDE;TIPO PS;NUMERO ACCESSI
01/01/2022;Cantù;PS Generale;57
01/01/2022;Cantù;PS Pediatrico;10
01/01/2022;Menaggio;PS Generale;16
01/01/2022;S. Fermo;PS Generale;122
01/01/2022;S. Fermo;PS Ostetrico-Ginecologico;19
01/01/2022;S. Fermo;PS Pediatrico;39
02/01/2022;Cantù;PS Generale;45
02/01/2022;Cantù;PS Pediatrico;3
02/01/2022;Menaggio;PS Generale;15
02/01/2022;S. Fermo;PS Generale;97
02/01/2022;S. Fermo;PS Ostetrico-Ginecologico;24
02/01/2022;S. Fermo;PS Pediatrico;30
03/01/2022;Cantù;PS Generale;56
03/01/2022;Cantù;PS Pediatrico;10
03/01/2022;Menaggio;PS Generale;24
03/01/2022;S. Fermo;PS Generale;107
03/01/2022;S. Fermo;PS Ostetrico-Ginecologico;29
03/01/2022;S. Fermo;PS Pediatrico;30
04/01/2022;Cantù;PS Generale;50
04/01/2022;Cantù;PS Pediatrico;7
04/01/2022;Menaggio;PS Generale;21
04/01/2022;S. Fermo;PS Generale;101
04/01/2022;S. Fermo;PS Ostetrico-Ginecologico;23
04/01/2022;S. Fermo;PS Pediatrico;19
05/01/2022;Cantù;PS Generale;57
05/01/2022;Cantù;PS Pediatrico;7
05/01/2022;Menaggio;PS Generale;15
05/01/2022;S. Fermo;PS Generale;91
05/01/2022;S. Fermo;PS Ostetrico-Ginecologico;21
05/01/2022;S. Fermo;PS Pediatrico;23
06/01/2022;Cantù;PS Generale;35
06/01/2022;Cantù;PS Pediatrico;2
06/01/2022;Menaggio;PS Generale;18
06/01/2022;S. Fermo;PS Generale;78
06/01/2022;S. Fermo;PS Ostetrico-Ginecologico;10
06/01/2022;S. Fermo;PS Pediatrico;20
07/01/2022;Cantù;PS Generale;42
07/01/2022;Cantù;PS Pediatrico;4
07/01/2022;Menaggio;PS Generale;19
07/01/2022;S. Fermo;PS Generale;101
07/01/2022;S. Fermo;PS Ostetrico-Ginecologico;21
07/01/2022;S. Fermo;PS Pediatrico;26
08/01/2022;Cantù;PS Generale;30
08/01/2022;Cantù;PS Pediatrico;3
08/01/2022;Menaggio;PS Generale;8
08/01/2022;S. Fermo;PS Generale;82
08/01/2022;S. Fermo;PS Ostetrico-Ginecologico;14
08/01/2022;S. Fermo;PS Pediatrico;25
09/01/2022;Cantù;PS Generale;44
09/01/2022;Cantù;PS Pediatrico;5
09/01/2022;Menaggio;PS Generale;11
09/01/2022;S. Fermo;PS Generale;66
09/01/2022;S. Fermo;PS Ostetrico-Ginecologico;18
09/01/2022;S. Fermo;PS Pediatrico;20
10/01/2022;Cantù;PS Generale;56
10/01/2022;Cantù;PS Pediatrico;1
10/01/2022;Menaggio;PS Generale;28
10/01/2022;S. Fermo;PS Generale;92
10/01/2022;S. Fermo;PS Ostetrico-Ginecologico;18
10/01/2022;S. Fermo;PS Pediatrico;15
11/01/2022;Cantù;PS Generale;52
11/01/2022;Cantù;PS Pediatrico;7
11/01/2022;Menaggio;PS Generale;15
11/01/2022;S. Fermo;PS Generale;73
11/01/2022;S. Fermo;PS Ostetrico-Ginecologico;18
11/01/2022;S. Fermo;PS Pediatrico;29
12/01/2022;Cantù;PS Generale;50
12/01/2022;Cantù;PS Pediatrico;6
12/01/2022;Menaggio;PS Generale;8
12/01/2022;S. Fermo;PS Generale;77
12/01/2022;S. Fermo;PS Ostetrico-Ginecologico;19
12/01/2022;S. Fermo;PS Pediatrico;25
13/01/2022;Cantù;PS Generale;45
13/01/2022;Cantù;PS Pediatrico;6
13/01/2022;Menaggio;PS Generale;10
13/01/2022;S. Fermo;PS Generale;88
13/01/2022;S. Fermo;PS Ostetrico-Ginecologico;19
13/01/2022;S. Fermo;PS Pediatrico;34
14/01/2022;Cantù;PS Generale;43
14/01/2022;Cantù;PS Pediatrico;4
14/01/2022;Menaggio;PS Generale;26
14/01/2022;S. Fermo;PS Generale;77
14/01/2022;S. Fermo;PS Ostetrico-Ginecologico;17
14/01/2022;S. Fermo;PS Pediatrico;20
15/01/2022;Cantù;PS Generale;58
15/01/2022;Cantù;PS Pediatrico;4
15/01/2022;Menaggio;PS Generale;12
15/01/2022;S. Fermo;PS Generale;93
15/01/2022;S. Fermo;PS Ostetrico-Ginecologico;14
15/01/2022;S. Fermo;PS Pediatrico;23
16/01/2022;Cantù;PS Generale;34
16/01/2022;Cantù;PS Pediatrico;6
16/01/2022;Menaggio;PS Generale;11
16/01/2022;S. Fermo;PS Generale;54
16/01/2022;S. Fermo;PS Ostetrico-Ginecologico;19
16/01/2022;S. Fermo;PS Pediatrico;45
17/01/2022;Cantù;PS Generale;47
17/01/2022;Cantù;PS Pediatrico;4
17/01/2022;Menaggio;PS Generale;12
17/01/2022;S. Fermo;PS Generale;96
17/01/2022;S. Fermo;PS Ostetrico-Ginecologico;17
17/01/2022;S. Fermo;PS Pediatrico;37
18/01/2022;Cantù;PS Generale;36
18/01/2022;Cantù;PS Pediatrico;9
18/01/2022;Menaggio;PS Generale;23
18/01/2022;S. Fermo;PS Generale;105
18/01/2022;S. Fermo;PS Ostetrico-Ginecologico;14
18/01/2022;S. Fermo;PS Pediatrico;30
19/01/2022;Cantù;PS Generale;38
19/01/2022;Cantù;PS Pediatrico;8
19/01/2022;Menaggio;PS Generale;17
19/01/2022;S. Fermo;PS Generale;95
19/01/2022;S. Fermo;PS Ostetrico-Ginecologico;16
19/01/2022;S. Fermo;PS Pediatrico;33
20/01/2022;Cantù;PS Generale;43
20/01/2022;Cantù;PS Pediatrico;5
20/01/2022;Menaggio;PS Generale;18
20/01/2022;S. Fermo;PS Generale;84
20/01/2022;S. Fermo;PS Ostetrico-Ginecologico;25
20/01/2022;S. Fermo;PS Pediatrico;40
21/01/2022;Cantù;PS Generale;39
21/01/2022;Cantù;PS Pediatrico;7
21/01/2022;Menaggio;PS Generale;17
